----------------------------------------------------------------
Program to calculate electron spin polarization and transmission
----------------------------------------------------------------
Partitionng the system into three regions based on Au atoms:
left electrode: 9 atoms
central region: 40 atoms
right electrode: 9 atoms
Note:
The first and last sets of heavy atoms are assummed be on left and right
electrodes, respectively.

Basis functions for the partitioned Hamiltonian/overlap matrix:
---------------------------------------------------------------
Left electrode: 198
Central: 279
Right electrode: 198
Total: 675

Default input parameters for electron transport:
 -1.63  0.15940836  2.55787e-01  2.54972e-01  0.00000e+00  0.00000e+00
 -1.62  0.21953552  2.52409e-01  2.51303e-01  0.00000e+00  0.00000e+00
 -1.61  0.27897360  2.49405e-01  2.48017e-01  0.00000e+00  0.00000e+00
 -1.60  0.33779727  2.46763e-01  2.45102e-01  0.00000e+00  0.00000e+00
 -1.59  0.39608213  2.44473e-01  2.42544e-01  0.00000e+00  0.00000e+00
 -1.58  0.45390444  2.42524e-01  2.40333e-01  0.00000e+00  0.00000e+00
 -1.57  0.51134092  2.40911e-01  2.38460e-01  0.00000e+00  0.00000e+00
 -1.56  0.56846867  2.39626e-01  2.36917e-01  0.00000e+00  0.00000e+00
 -1.55  0.62536509  2.38667e-01  2.35700e-01  0.00000e+00  0.00000e+00
 -1.54  0.68210782  2.38030e-01  2.34805e-01  0.00000e+00  0.00000e+00
 -1.53  0.73877474  2.37714e-01  2.34228e-01  0.00000e+00  0.00000e+00
 -1.52  0.79544393  2.37721e-01  2.33969e-01  0.00000e+00  0.00000e+00
 -1.51  0.85219371  2.38052e-01  2.34029e-01  0.00000e+00  0.00000e+00
 -1.50  0.90910262  2.38711e-01  2.34410e-01  0.00000e+00  0.00000e+00
 -1.49  0.96624941  2.39704e-01  2.35116e-01  0.00000e+00  0.00000e+00
 -1.48  1.02371299  2.41039e-01  2.36154e-01  0.00000e+00  0.00000e+00
 -1.47  1.08157236  2.42724e-01  2.37530e-01  0.00000e+00  0.00000e+00
 -1.46  1.13990653  2.44771e-01  2.39254e-01  0.00000e+00  0.00000e+00
 -1.45  1.19879429  2.47194e-01  2.41338e-01  0.00000e+00  0.00000e+00
 -1.44  1.25831399  2.50008e-01  2.43795e-01  0.00000e+00  0.00000e+00
 -1.43  1.31854319  2.53232e-01  2.46641e-01  0.00000e+00  0.00000e+00
 -1.42  1.37955812  2.56886e-01  2.49895e-01  0.00000e+00  0.00000e+00
 -1.41  1.44143310  2.60994e-01  2.53577e-01  0.00000e+00  0.00000e+00
 -1.40  1.50423959  2.65583e-01  2.57711e-01  0.00000e+00  0.00000e+00
 -1.39  1.56804517  2.70683e-01  2.62325e-01  0.00000e+00  0.00000e+00
 -1.38  1.63291199  2.76329e-01  2.67450e-01  0.00000e+00  0.00000e+00
 -1.37  1.69889496  2.82559e-01  2.73119e-01  0.00000e+00  0.00000e+00
 -1.36  1.76603937  2.89416e-01  2.79371e-01  0.00000e+00  0.00000e+00
 -1.35  1.83437780  2.96949e-01  2.86251e-01  0.00000e+00  0.00000e+00
 -1.34  1.90392633  3.05211e-01  2.93806e-01  0.00000e+00  0.00000e+00
 -1.33  1.97467966  3.14261e-01  3.02090e-01  0.00000e+00  0.00000e+00
 -1.32  2.04660491  3.24168e-01  3.11165e-01  0.00000e+00  0.00000e+00
 -1.31  2.11963390  3.35004e-01  3.21097e-01  0.00000e+00  0.00000e+00
 -1.30  2.19365342  3.46851e-01  3.31960e-01  0.00000e+00  0.00000e+00
 -1.29  2.26849291  3.59800e-01  3.43838e-01  0.00000e+00  0.00000e+00
 -1.28  2.34390920  3.73950e-01  3.56821e-01  0.00000e+00  0.00000e+00
 -1.27  2.41956731  3.89409e-01  3.71010e-01  0.00000e+00  0.00000e+00
 -1.26  2.49501664  4.06293e-01  3.86512e-01  0.00000e+00  0.00000e+00
 -1.25  2.56966148  4.24729e-01  4.03448e-01  0.00000e+00  0.00000e+00
 -1.24  2.64272467  4.44849e-01  4.21942e-01  0.00000e+00  0.00000e+00
 -1.23  2.71320340  4.66790e-01  4.42129e-01  0.00000e+00  0.00000e+00
 -1.22  2.77981588  4.90689e-01  4.64147e-01  0.00000e+00  0.00000e+00
 -1.21  2.84093818  5.16680e-01  4.88134e-01  0.00000e+00  0.00000e+00
 -1.20  2.89453108  5.44880e-01  5.14224e-01  0.00000e+00  0.00000e+00
 -1.19  2.93805827  5.75378e-01  5.42534e-01  0.00000e+00  0.00000e+00
 -1.18  2.96839953  6.08221e-01  5.73153e-01  0.00000e+00  0.00000e+00
 -1.17  2.98176635  6.43381e-01  6.06123e-01  0.00000e+00  0.00000e+00
 -1.16  2.97363334  6.80731e-01  6.41415e-01  0.00000e+00  0.00000e+00
 -1.15  2.93870680  7.20003e-01  6.78894e-01  0.00000e+00  0.00000e+00
 -1.14  2.87096238  7.60742e-01  7.18280e-01  0.00000e+00  0.00000e+00
 -1.13  2.76379468  8.02256e-01  7.59103e-01  0.00000e+00  0.00000e+00
 -1.12  2.61033087  8.43573e-01  8.00653e-01  0.00000e+00  0.00000e+00
 -1.11  2.40395962  8.83408e-01  8.41932e-01  0.00000e+00  0.00000e+00
 -1.10  2.13910787  9.20174e-01  8.81632e-01  0.00000e+00  0.00000e+00
 -1.09  1.81224822  9.52028e-01  9.18136e-01  0.00000e+00  0.00000e+00
 -1.08  1.42303569  9.76999e-01  9.49583e-01  0.00000e+00  0.00000e+00
 -1.07  0.97536365  9.93185e-01  9.73998e-01  0.00000e+00  0.00000e+00
 -1.06  0.47803529  9.98993e-01  9.89487e-01  0.00000e+00  0.00000e+00
 -1.05 -0.05527002  9.93399e-01  9.94498e-01  0.00000e+00  0.00000e+00
 -1.04 -0.60693940  9.76142e-01  9.88063e-01  0.00000e+00  0.00000e+00
 -1.03 -1.15723054  9.47803e-01  9.69997e-01  0.00000e+00  0.00000e+00
 -1.02 -1.68659127  9.09743e-01  9.40956e-01  0.00000e+00  0.00000e+00
 -1.01 -2.17794849  8.63897e-01  9.02366e-01  0.00000e+00  0.00000e+00
 -1.00 -2.61843053  8.12510e-01  8.56204e-01  0.00000e+00  0.00000e+00
 -0.99 -3.00020264  7.57846e-01  8.04726e-01  0.00000e+00  0.00000e+00
 -0.98 -3.32039737  7.01970e-01  7.50187e-01  0.00000e+00  0.00000e+00
 -0.97 -3.58036646  6.46600e-01  6.94621e-01  0.00000e+00  0.00000e+00
 -0.96 -3.78458523  5.93050e-01  6.39705e-01  0.00000e+00  0.00000e+00
 -0.95 -3.93951346  5.42236e-01  5.86711e-01  0.00000e+00  0.00000e+00
 -0.94 -4.05261729  4.94725e-01  5.36517e-01  0.00000e+00  0.00000e+00
 -0.93 -4.13164798  4.50802e-01  4.89658e-01  0.00000e+00  0.00000e+00
 -0.92 -4.18419238  4.10541e-01  4.46397e-01  0.00000e+00  0.00000e+00
 -0.91 -4.21746755  3.73867e-01  4.06791e-01  0.00000e+00  0.00000e+00
 -0.90 -4.23832238  3.40607e-01  3.70757e-01  0.00000e+00  0.00000e+00
 -0.89 -4.25342466  3.10529e-01  3.38118e-01  0.00000e+00  0.00000e+00
 -0.88 -4.26965035  2.83370e-01  3.08647e-01  0.00000e+00  0.00000e+00
 -0.87 -4.29476251  2.58856e-01  2.82088e-01  0.00000e+00  0.00000e+00
 -0.86 -4.33861349  2.36708e-01  2.58179e-01  0.00000e+00  0.00000e+00
 -0.85 -4.41544790  2.16649e-01  2.36664e-01  0.00000e+00  0.00000e+00
 -0.84 -4.54882326  1.98393e-01  2.17302e-01  0.00000e+00  0.00000e+00
 -0.83 -4.78367505  1.81618e-01  1.99867e-01  0.00000e+00  0.00000e+00
 -0.82 -5.22191022  1.65875e-01  1.84153e-01  0.00000e+00  0.00000e+00
 -0.81 -6.16161638  1.50244e-01  1.69975e-01  0.00000e+00  0.00000e+00
 -0.80 -9.02439885  1.31148e-01  1.57166e-01  0.00000e+00  0.00000e+00
 -0.79 -54.39065237  4.30057e-02  1.45577e-01  0.00000e+00  0.00000e+00
 -0.78  3.87983016  1.45980e-01  1.35076e-01  0.00000e+00  0.00000e+00
 -0.77  0.51002256  1.26832e-01  1.25545e-01  0.00000e+00  0.00000e+00
 -0.76 -0.53030984  1.15648e-01  1.16881e-01  0.00000e+00  0.00000e+00
 -0.75 -1.01075868  1.06810e-01  1.08991e-01  0.00000e+00  0.00000e+00
 -0.74 -1.27185639  9.92380e-02  1.01795e-01  0.00000e+00  0.00000e+00
 -0.73 -1.42524121  9.25439e-02  9.52200e-02  0.00000e+00  0.00000e+00
 -0.72 -1.51828484  8.65349e-02  8.92031e-02  0.00000e+00  0.00000e+00
 -0.71 -1.57450123  8.10932e-02  8.36877e-02  0.00000e+00  0.00000e+00
 -0.70 -1.60686994  7.61372e-02  7.86240e-02  0.00000e+00  0.00000e+00
 -0.69 -1.62312724  7.16048e-02  7.39676e-02  0.00000e+00  0.00000e+00
 -0.68 -1.62815891  6.74466e-02  6.96792e-02  0.00000e+00  0.00000e+00
 -0.67 -1.62519247  6.36217e-02  6.57238e-02  0.00000e+00  0.00000e+00
 -0.66 -1.61643743  6.00953e-02  6.20700e-02  0.00000e+00  0.00000e+00
 -0.65 -1.60345059  5.68377e-02  5.86902e-02  0.00000e+00  0.00000e+00
 -0.64 -1.58735482  5.38230e-02  5.55593e-02  0.00000e+00  0.00000e+00
 -0.63 -1.56897578  5.10283e-02  5.26551e-02  0.00000e+00  0.00000e+00
 -0.62 -1.54893028  4.84336e-02  4.99576e-02  0.00000e+00  0.00000e+00
 -0.61 -1.52768509  4.60210e-02  4.74489e-02  0.00000e+00  0.00000e+00
 -0.60 -1.50559726  4.37746e-02  4.51129e-02  0.00000e+00  0.00000e+00
 -0.59 -1.48294220  4.16802e-02  4.29350e-02  0.00000e+00  0.00000e+00
 -0.58 -1.45993378  3.97251e-02  4.09022e-02  0.00000e+00  0.00000e+00
 -0.57 -1.43673888  3.78977e-02  3.90025e-02  0.00000e+00  0.00000e+00
 -0.56 -1.41348811  3.61877e-02  3.72254e-02  0.00000e+00  0.00000e+00
 -0.55 -1.39028388  3.45858e-02  3.55611e-02  0.00000e+00  0.00000e+00
 -0.54 -1.36720642  3.30836e-02  3.40007e-02  0.00000e+00  0.00000e+00
 -0.53 -1.34431842  3.16732e-02  3.25364e-02  0.00000e+00  0.00000e+00
 -0.52 -1.32166868  3.03479e-02  3.11609e-02  0.00000e+00  0.00000e+00
 -0.51 -1.29929482  2.91012e-02  2.98674e-02  0.00000e+00  0.00000e+00
 -0.50 -1.27722554  2.79274e-02  2.86501e-02  0.00000e+00  0.00000e+00
 -0.49 -1.25548233  2.68212e-02  2.75033e-02  0.00000e+00  0.00000e+00
 -0.48 -1.23408085  2.57778e-02  2.64220e-02  0.00000e+00  0.00000e+00
 -0.47 -1.21303207  2.47927e-02  2.54016e-02  0.00000e+00  0.00000e+00
 -0.46 -1.19234313  2.38620e-02  2.44379e-02  0.00000e+00  0.00000e+00
 -0.45 -1.17201807  2.29818e-02  2.35269e-02  0.00000e+00  0.00000e+00
 -0.44 -1.15205843  2.21489e-02  2.26652e-02  0.00000e+00  0.00000e+00
 -0.43 -1.13246373  2.13600e-02  2.18493e-02  0.00000e+00  0.00000e+00
 -0.42 -1.11323184  2.06123e-02  2.10764e-02  0.00000e+00  0.00000e+00
 -0.41 -1.09435933  1.99031e-02  2.03435e-02  0.00000e+00  0.00000e+00
 -0.40 -1.07584171  1.92299e-02  1.96482e-02  0.00000e+00  0.00000e+00
 -0.39 -1.05767366  1.85906e-02  1.89880e-02  0.00000e+00  0.00000e+00
 -0.38 -1.03984921  1.79829e-02  1.83608e-02  0.00000e+00  0.00000e+00
 -0.37 -1.02236190  1.74049e-02  1.77645e-02  0.00000e+00  0.00000e+00
 -0.36 -1.00520487  1.68549e-02  1.71972e-02  0.00000e+00  0.00000e+00
 -0.35 -0.98837099  1.63312e-02  1.66572e-02  0.00000e+00  0.00000e+00
 -0.34 -0.97185293  1.58321e-02  1.61429e-02  0.00000e+00  0.00000e+00
 -0.33 -0.95564326  1.53564e-02  1.56527e-02  0.00000e+00  0.00000e+00
 -0.32 -0.93973445  1.49025e-02  1.51852e-02  0.00000e+00  0.00000e+00
 -0.31 -0.92411898  1.44693e-02  1.47392e-02  0.00000e+00  0.00000e+00
 -0.30 -0.90878931  1.40556e-02  1.43134e-02  0.00000e+00  0.00000e+00
 -0.29 -0.89373799  1.36604e-02  1.39068e-02  0.00000e+00  0.00000e+00
 -0.28 -0.87895762  1.32825e-02  1.35181e-02  0.00000e+00  0.00000e+00
 -0.27 -0.86444089  1.29211e-02  1.31465e-02  0.00000e+00  0.00000e+00
 -0.26 -0.85018063  1.25753e-02  1.27910e-02  0.00000e+00  0.00000e+00
 -0.25 -0.83616977  1.22442e-02  1.24507e-02  0.00000e+00  0.00000e+00
 -0.24 -0.82240138  1.19271e-02  1.21249e-02  0.00000e+00  0.00000e+00
 -0.23 -0.80886868  1.16233e-02  1.18129e-02  0.00000e+00  0.00000e+00
 -0.22 -0.79556502  1.13320e-02  1.15138e-02  0.00000e+00  0.00000e+00
 -0.21 -0.78248393  1.10526e-02  1.12270e-02  0.00000e+00  0.00000e+00
 -0.20 -0.76961906  1.07846e-02  1.09519e-02  0.00000e+00  0.00000e+00
 -0.19 -0.75696425  1.05273e-02  1.06879e-02  0.00000e+00  0.00000e+00
 -0.18 -0.74451345  1.02803e-02  1.04345e-02  0.00000e+00  0.00000e+00
 -0.17 -0.73226081  1.00430e-02  1.01912e-02  0.00000e+00  0.00000e+00
 -0.16 -0.72020060  9.81496e-03  9.95736e-03  0.00000e+00  0.00000e+00
 -0.15 -0.70832726  9.59575e-03  9.73266e-03  0.00000e+00  0.00000e+00
 -0.14 -0.69663537  9.38495e-03  9.51663e-03  0.00000e+00  0.00000e+00
 -0.13 -0.68511966  9.18217e-03  9.30886e-03  0.00000e+00  0.00000e+00
 -0.12 -0.67377500  8.98704e-03  9.10896e-03  0.00000e+00  0.00000e+00
 -0.11 -0.66259639  8.79920e-03  8.91659e-03  0.00000e+00  0.00000e+00
 -0.10 -0.65157899  8.61833e-03  8.73138e-03  0.00000e+00  0.00000e+00
 -0.09 -0.64071807  8.44412e-03  8.55303e-03  0.00000e+00  0.00000e+00
 -0.08 -0.63000904  8.27628e-03  8.38122e-03  0.00000e+00  0.00000e+00
 -0.07 -0.61944744  8.11451e-03  8.21567e-03  0.00000e+00  0.00000e+00
 -0.06 -0.60902892  7.95857e-03  8.05611e-03  0.00000e+00  0.00000e+00
 -0.05 -0.59874926  7.80820e-03  7.90227e-03  0.00000e+00  0.00000e+00
 -0.04 -0.58860435  7.66316e-03  7.75391e-03  0.00000e+00  0.00000e+00
 -0.03 -0.57859019  7.52323e-03  7.61080e-03  0.00000e+00  0.00000e+00
 -0.02 -0.56870288  7.38820e-03  7.47272e-03  0.00000e+00  0.00000e+00
 -0.01 -0.55893865  7.25787e-03  7.33946e-03  0.00000e+00  0.00000e+00
  0.00 -0.54929381  7.13204e-03  7.21082e-03  0.00000e+00  0.00000e+00
  0.01 -0.53976478  7.01053e-03  7.08662e-03  0.00000e+00  0.00000e+00
  0.02 -0.53034805  6.89318e-03  6.96668e-03  0.00000e+00  0.00000e+00
  0.03 -0.52104023  6.77981e-03  6.85083e-03  0.00000e+00  0.00000e+00
  0.04 -0.51183801  6.67027e-03  6.73890e-03  0.00000e+00  0.00000e+00
  0.05 -0.50273815  6.56441e-03  6.63075e-03  0.00000e+00  0.00000e+00
  0.06 -0.49373753  6.46210e-03  6.52623e-03  0.00000e+00  0.00000e+00
  0.07 -0.48483306  6.36319e-03  6.42520e-03  0.00000e+00  0.00000e+00
  0.08 -0.47602176  6.26757e-03  6.32752e-03  0.00000e+00  0.00000e+00
  0.09 -0.46730073  6.17510e-03  6.23308e-03  0.00000e+00  0.00000e+00
  0.10 -0.45866711  6.08568e-03  6.14176e-03  0.00000e+00  0.00000e+00
  0.11 -0.45011814  5.99919e-03  6.05344e-03  0.00000e+00  0.00000e+00
  0.12 -0.44165110  5.91552e-03  5.96801e-03  0.00000e+00  0.00000e+00
  0.13 -0.43326336  5.83458e-03  5.88536e-03  0.00000e+00  0.00000e+00
  0.14 -0.42495234  5.75628e-03  5.80541e-03  0.00000e+00  0.00000e+00
  0.15 -0.41671552  5.68051e-03  5.72805e-03  0.00000e+00  0.00000e+00
  0.16 -0.40855043  5.60720e-03  5.65321e-03  0.00000e+00  0.00000e+00
  0.17 -0.40045468  5.53626e-03  5.58078e-03  0.00000e+00  0.00000e+00
  0.18 -0.39242590  5.46761e-03  5.51069e-03  0.00000e+00  0.00000e+00
  0.19 -0.38446181  5.40117e-03  5.44286e-03  0.00000e+00  0.00000e+00
  0.20 -0.37656015  5.33687e-03  5.37722e-03  0.00000e+00  0.00000e+00
  0.21 -0.36871873  5.27465e-03  5.31369e-03  0.00000e+00  0.00000e+00
  0.22 -0.36093538  5.21443e-03  5.25221e-03  0.00000e+00  0.00000e+00
  0.23 -0.35320801  5.15616e-03  5.19272e-03  0.00000e+00  0.00000e+00
  0.24 -0.34553454  5.09977e-03  5.13514e-03  0.00000e+00  0.00000e+00
  0.25 -0.33791295  5.04521e-03  5.07942e-03  0.00000e+00  0.00000e+00
  0.26 -0.33034127  4.99242e-03  5.02551e-03  0.00000e+00  0.00000e+00
  0.27 -0.32281755  4.94134e-03  4.97334e-03  0.00000e+00  0.00000e+00
  0.28 -0.31533988  4.89193e-03  4.92288e-03  0.00000e+00  0.00000e+00
  0.29 -0.30790640  4.84413e-03  4.87406e-03  0.00000e+00  0.00000e+00
  0.30 -0.30051528  4.79791e-03  4.82684e-03  0.00000e+00  0.00000e+00
  0.31 -0.29316471  4.75322e-03  4.78117e-03  0.00000e+00  0.00000e+00
  0.32 -0.28585294  4.71001e-03  4.73701e-03  0.00000e+00  0.00000e+00
  0.33 -0.27857822  4.66824e-03  4.69433e-03  0.00000e+00  0.00000e+00
  0.34 -0.27133887  4.62789e-03  4.65307e-03  0.00000e+00  0.00000e+00
  0.35 -0.26413319  4.58889e-03  4.61320e-03  0.00000e+00  0.00000e+00
  0.36 -0.25695957  4.55123e-03  4.57468e-03  0.00000e+00  0.00000e+00
  0.37 -0.24981636  4.51487e-03  4.53749e-03  0.00000e+00  0.00000e+00
  0.38 -0.24270200  4.47978e-03  4.50157e-03  0.00000e+00  0.00000e+00
  0.39 -0.23561492  4.44592e-03  4.46692e-03  0.00000e+00  0.00000e+00
  0.40 -0.22855358  4.41326e-03  4.43348e-03  0.00000e+00  0.00000e+00
  0.41 -0.22151647  4.38178e-03  4.40123e-03  0.00000e+00  0.00000e+00
  0.42 -0.21450210  4.35145e-03  4.37015e-03  0.00000e+00  0.00000e+00
  0.43 -0.20750901  4.32224e-03  4.34021e-03  0.00000e+00  0.00000e+00
  0.44 -0.20053576  4.29412e-03  4.31138e-03  0.00000e+00  0.00000e+00
  0.45 -0.19358093  4.26709e-03  4.28364e-03  0.00000e+00  0.00000e+00
  0.46 -0.18664312  4.24110e-03  4.25696e-03  0.00000e+00  0.00000e+00
  0.47 -0.17972096  4.21614e-03  4.23132e-03  0.00000e+00  0.00000e+00
  0.48 -0.17281309  4.19219e-03  4.20670e-03  0.00000e+00  0.00000e+00
  0.49 -0.16591817  4.16923e-03  4.18308e-03  0.00000e+00  0.00000e+00
  0.50 -0.15903490  4.14723e-03  4.16044e-03  0.00000e+00  0.00000e+00
  0.51 -0.15216197  4.12619e-03  4.13876e-03  0.00000e+00  0.00000e+00
  0.52 -0.14529811  4.10608e-03  4.11803e-03  0.00000e+00  0.00000e+00
  0.53 -0.13844206  4.08689e-03  4.09822e-03  0.00000e+00  0.00000e+00
  0.54 -0.13159258  4.06860e-03  4.07932e-03  0.00000e+00  0.00000e+00
  0.55 -0.12474845  4.05120e-03  4.06132e-03  0.00000e+00  0.00000e+00
  0.56 -0.11790847  4.03467e-03  4.04419e-03  0.00000e+00  0.00000e+00
  0.57 -0.11107145  4.01900e-03  4.02794e-03  0.00000e+00  0.00000e+00
  0.58 -0.10423623  4.00418e-03  4.01253e-03  0.00000e+00  0.00000e+00
  0.59 -0.09740167  3.99019e-03  3.99797e-03  0.00000e+00  0.00000e+00
  0.60 -0.09056664  3.97703e-03  3.98424e-03  0.00000e+00  0.00000e+00
  0.61 -0.08373001  3.96468e-03  3.97132e-03  0.00000e+00  0.00000e+00
  0.62 -0.07689072  3.95313e-03  3.95922e-03  0.00000e+00  0.00000e+00
  0.63 -0.07004768  3.94238e-03  3.94791e-03  0.00000e+00  0.00000e+00
  0.64 -0.06319985  3.93242e-03  3.93739e-03  0.00000e+00  0.00000e+00
  0.65 -0.05634619  3.92323e-03  3.92765e-03  0.00000e+00  0.00000e+00
  0.66 -0.04948570  3.91481e-03  3.91869e-03  0.00000e+00  0.00000e+00
  0.67 -0.04261738  3.90716e-03  3.91049e-03  0.00000e+00  0.00000e+00
  0.68 -0.03574027  3.90026e-03  3.90305e-03  0.00000e+00  0.00000e+00
  0.69 -0.02885343  3.89411e-03  3.89636e-03  0.00000e+00  0.00000e+00
  0.70 -0.02195594  3.88870e-03  3.89041e-03  0.00000e+00  0.00000e+00
  0.71 -0.01504691  3.88404e-03  3.88521e-03  0.00000e+00  0.00000e+00
  0.72 -0.00812546  3.88012e-03  3.88075e-03  0.00000e+00  0.00000e+00
  0.73 -0.00119076  3.87692e-03  3.87702e-03  0.00000e+00  0.00000e+00
  0.74  0.00575800  3.87446e-03  3.87401e-03  0.00000e+00  0.00000e+00
  0.75  0.01272159  3.87272e-03  3.87174e-03  0.00000e+00  0.00000e+00
  0.76  0.01970077  3.87171e-03  3.87018e-03  0.00000e+00  0.00000e+00
  0.77  0.02669625  3.87142e-03  3.86935e-03  0.00000e+00  0.00000e+00
  0.78  0.03370869  3.87185e-03  3.86924e-03  0.00000e+00  0.00000e+00
  0.79  0.04073873  3.87300e-03  3.86985e-03  0.00000e+00  0.00000e+00
  0.80  0.04778697  3.87488e-03  3.87118e-03  0.00000e+00  0.00000e+00
  0.81  0.05485394  3.87747e-03  3.87322e-03  0.00000e+00  0.00000e+00
  0.82  0.06194014  3.88079e-03  3.87598e-03  0.00000e+00  0.00000e+00
  0.83  0.06904601  3.88482e-03  3.87946e-03  0.00000e+00  0.00000e+00
  0.84  0.07617195  3.88959e-03  3.88367e-03  0.00000e+00  0.00000e+00
  0.85  0.08331826  3.89508e-03  3.88859e-03  0.00000e+00  0.00000e+00
  0.86  0.09048522  3.90130e-03  3.89424e-03  0.00000e+00  0.00000e+00
  0.87  0.09767299  3.90825e-03  3.90062e-03  0.00000e+00  0.00000e+00
  0.88  0.10488170  3.91594e-03  3.90773e-03  0.00000e+00  0.00000e+00
  0.89  0.11211137  3.92437e-03  3.91558e-03  0.00000e+00  0.00000e+00
  0.90  0.11936192  3.93354e-03  3.92416e-03  0.00000e+00  0.00000e+00
  0.91  0.12663318  3.94347e-03  3.93349e-03  0.00000e+00  0.00000e+00
  0.92  0.13392488  3.95415e-03  3.94357e-03  0.00000e+00  0.00000e+00
  0.93  0.14123663  3.96559e-03  3.95441e-03  0.00000e+00  0.00000e+00
  0.94  0.14856789  3.97781e-03  3.96600e-03  0.00000e+00  0.00000e+00
  0.95  0.15591800  3.99080e-03  3.97837e-03  0.00000e+00  0.00000e+00
  0.96  0.16328614  4.00457e-03  3.99151e-03  0.00000e+00  0.00000e+00
  0.97  0.17067133  4.01914e-03  4.00544e-03  0.00000e+00  0.00000e+00
  0.98  0.17807238  4.03451e-03  4.02016e-03  0.00000e+00  0.00000e+00
  0.99  0.18548792  4.05069e-03  4.03569e-03  0.00000e+00  0.00000e+00
  1.00  0.19291635  4.06769e-03  4.05203e-03  0.00000e+00  0.00000e+00
  1.01  0.20035584  4.08553e-03  4.06919e-03  0.00000e+00  0.00000e+00
